locus_tag,product,cai,start,end,strand
FN1496,Rod shape-determining protein mreC,0.6570628511703248,76,709,-1
FN1498,Integral membrane protein,0.6324982082781055,2702,3602,1
FN1507,Riboflavin synthase alpha chain,0.6242279888947114,12212,12968,1
FN1509,unknown,0.2774203742074432,14188,14266,-1
FN1511,Transposase,0.5926052977980847,14356,15838,1
FN1518,RNA polymerase sigma-H factor,0.6101295791465969,23552,24167,-1
FN1519,23S rRNA methyltransferase,0.6680393337253343,24177,24882,-1
FN1521,Dipeptide transport system permease protein dppB,0.6412311937657897,26527,27466,1
FN1524,Dipeptide transport ATP-binding protein dppD,0.6381187046281002,29938,30724,1
FN1525,Dipeptide transport ATP-binding protein dppF,0.6563608762860407,30662,31691,1
FN1530,Transposase,0.632896026842251,43764,44121,1
FN1532,murein hydrolase exporter,0.6305539967438092,45025,45409,-1
FN1537,Arsenical pump-driving ATPase,0.6226204646847696,50035,51202,-1
FN1539,Iron-sulfur cluster-binding protein,0.5727387083732404,52600,53152,1
FN1541,Heptaprenyl diphosphate synthase component II,0.5575623031958549,55354,56335,1
FN1542,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",0.5500341164280931,56331,57252,1
FN1544,Probable electron transfer flavoprotein-quinone oxidoreductase ydiS,0.6485959705877198,57974,59270,1
FN1576,ATPases and helicase subunits involved in DNA replication,0.6411802484961233,86594,87464,-1
FN1578,Hypothetical protein,0.6525251677648019,88496,88886,-1
FN1583,Hypothetical protein,0.5505510582436658,95128,95482,-1
FN1597,Peptidyl-tRNA hydrolase,0.6420010770854065,107324,107900,-1
FN1598,Hypothetical protein,0.6110183830152295,108068,108242,-1
FN1604,unknown,0.4085035912805383,113747,113912,-1
FN1612,Oxygen-independent coproporphyrinogen III oxidase,0.64791800654456,121213,122623,-1
FN1615,Integral membrane protein,0.6689537554166258,125264,125816,1
FN1626,LSU ribosomal protein L30P,0.5727562646401685,132953,133139,-1
FN1637,LSU ribosomal protein L29P,0.6543157284593957,136977,137160,-1
FN1640,LSU ribosomal protein L22P,0.664088983539494,138271,138607,-1
FN1648,Oligopeptide transport ATP-binding protein oppF,0.6674028092771769,142636,143407,-1
FN1649,Oligopeptide transport ATP-binding protein oppD,0.6431280406630099,143416,144205,-1
FN1651,Oligopeptide transport system permease protein oppB,0.635758725853706,144965,145889,-1
FN1659,unknown,0.5944151649523369,155175,155886,1
FN1660,ATP-dependent DNA helicase recG,0.6264426266005856,155928,157998,-1
FN1664,unknown,0.6325571980579938,162254,162590,1
FN1665,Virulence-associated protein I,0.6565587537173594,162654,162954,1
FN1666,Hypothetical protein,0.6377089713856218,162963,163317,1
FN1673,unknown,0.5506155600356211,171762,171948,-1
FN1674,Hypothetical protein,0.28619560882262535,172180,172285,1
FN1675,Transposase,0.6392173140077408,172295,172568,-1
FN1676,Transposase,0.6296301076493889,172878,174054,1
FN1678,unknown,0.49647074456688867,174426,174603,1
FN1680,Transposase,0.5298904881218873,176060,176345,-1
FN1681,unknown,0.5800300245730466,176577,176652,-1
FN1686,Spore coat polysaccharide biosynthesis protein spsF,0.6661290906666995,181116,181896,-1
FN1705,unknown,0.5224610576340261,201553,201763,-1
FN1706,Transporter,0.6674273281653396,201572,202337,1
FN1712,Hypothetical protein,0.6292979302885209,207401,207668,1
FN1725,Potassium uptake protein KtrB,0.651828337885631,223414,224761,-1
FN1726,Na+ driven multidrug efflux pump,0.6697778673896136,224775,226149,-1
FN1736,V-type sodium ATP synthase subunit A,0.6676775281797591,235502,236111,-1
FN1737,V-type sodium ATP synthase subunit G,0.6468454513372607,236128,236446,-1
FN1739,V-type sodium ATP synthase subunit E,0.6295319191136349,237440,237992,-1
FN1741,V-type sodium ATP synthase subunit I,0.6459715285203027,238650,240567,-1
FN1742,V-type sodium ATP synthase subunit G,0.5841425166741433,240553,240880,-1
FN1743,Multidrug-efflux transporter 2 regulator,0.6519126384361544,241121,241928,-1
FN1747,Cysteine permease,0.6600394247397756,245786,247322,1
FN1748,Pyruvate-flavodoxin oxidoreductase,0.5068443686782163,247391,247619,1
FN1753,ThiH protein,0.647759617692875,249303,250434,-1
FN1789,Na+ driven multidrug efflux pump,0.6214275022563905,270259,271639,1
FN1790,Cob(I)alamin adenosyltransferase,0.6697746052206126,271650,272172,1
FN1798,Spermidine/putrescine transport system permease protein potB,0.654740746185645,280077,280932,1
FN1799,Spermidine/putrescine transport system permease protein potC,0.6552347099491502,280915,281710,1
FN1815,Transposase,0.5869003689050267,295715,296051,-1
FN1821,Hypothetical cytosolic protein,0.3314385532488661,311170,311269,1
FN1825,Hypothetical protein,0.6433078690219516,314133,314571,1
FN1831,Nitrogen assimilation regulatory protein,0.6558618737810225,320118,321513,-1
FN1834,Biopolymer transport exbB protein,0.6436040716904499,322765,323329,-1
FN1843,Surface antigen,0.654074431316464,332076,333528,1
FN1844,Ketoacyl reductase hetN,0.6596104768714866,333732,334506,1
FN1845,Ceramide glucosyltransferase,0.6347964221729359,334526,335669,1
FN1847,"DTDP-4-dehydrorhamnose 3,5-epimerase",0.6446687126312077,336281,337268,1
FN1848,Metal dependent hydrolase,0.6663652372371458,337251,338043,1
FN1861,L-lysine permease,0.6435691893459922,351774,352398,-1
FN1865,Hypothetical protein,0.6315696888620353,356232,357195,-1
FN1877,Guanine-hypoxanthine permease,0.658230614042228,365298,366627,-1
FN1882,unknown,0.5054866208825748,368699,368894,1
FN1883,Transposase,0.5814724305918361,369002,370178,1
FN1886,unknown,0.663412154678889,371538,371814,1
FN1888,Transposase,0.6062037115901483,372550,372892,1
FN1889,Transposase,0.5883984540083408,372949,373087,1
FN1894,BAX protein,0.5973428521549448,381820,382432,-1
FN1904,"Transcriptional regulator, MarR family",0.62040140544625,393246,393693,1
FN1915,Anti-sigma B factor,0.5706297113404165,412080,412410,-1
FN1916,unknown,0.5965774906434963,412495,412786,-1
FN1920,tRNA (5-methylaminomethyl-2-thiouridylate) -methyltransferase,0.6627009239557394,415968,417000,-1
FN1928,"Transcriptional regulator, MerR family",0.6415879355504039,428053,428608,-1
FN1930,Phosphatidylglycerophosphatase A,0.6332087336647448,429833,430349,-1
FN1931,Protease,0.646009830676799,430348,432511,-1
FN1936,Hypothetical protein,0.5814229341443573,437231,437822,-1
FN1937,unknown,0.49157166293657345,437794,438022,-1
FN1938,unknown,0.5411885738784906,438038,438506,-1
FN1942,putative DNA-binding protein,0.6491634753198285,444089,444779,-1
FN1943,Tryptophanase,0.6697975649745725,444990,446628,1
FN1948,Hypothetical protein,0.5345115170416859,453254,453614,-1
FN1952,Na(+)-linked D-alanine glycine permease,0.4242391491480521,459032,459140,-1
FN1955,unknown,0.5940893276630336,460075,460270,1
FN1956,Hypothetical protein,0.6563666714971301,460246,460621,-1
FN1968,Hemin transport system ATP-binding protein hmuV,0.6001898867262161,466505,467279,-1
FN1969,Hemin transport system permease protein hmuU,0.6354244612373608,467275,468301,-1
FN1970,Hemin-binding periplasmic protein hmuT precursor,0.6454369207047405,468303,469146,-1
FN1980,Transporter,0.6425580790139062,482202,483312,1
FN1981,Transposase,0.48899740014927834,483438,483807,1
FN1982,unknown,0.6454266018263244,484452,484632,1
FN1987,"Transcriptional regulator, GntR family",0.6432269511582791,490107,490758,-1
FN1990,Tetratricopeptide repeat protein,0.6107542347821288,494224,494752,1
FN1993,SUA5 protein,0.6649654865107918,497056,497710,1
FN1997,Transcriptional regulator,0.6393810084794006,499897,500218,1
FN1998,HIPA protein,0.5319492428341387,500268,500451,1
FN2005,Cobalt transport ATP-binding protein cbiO,0.6238449254806956,505220,506036,1
FN2006,Cobalt transport protein cbiQ,0.5706841739971116,506218,507019,1
FN2010,"Transcriptional regulator, MarR family",0.6613545524200466,509909,510392,-1
FN2018,Single-stranded-DNA-specific exonuclease recJ,0.6587625023129723,520346,522017,-1
FN2021,ABC1 family protein,0.6032414280722828,524638,525169,-1
FN2029,O-antigen acetylase,0.6331099678848665,532138,533953,-1
FN2031,Thiamine biosynthesis lipoprotein apbE,0.6627921931431623,536210,537173,-1
FN2042,Protein translocase subunit SecE,0.5775613780896758,549745,549922,-1
FN2056,Hypothetical protein,0.6174283692937232,564852,565407,-1
FN2064,unknown,0.5666316769453572,575302,575806,-1
FN2065,Transcriptional repressor,0.6627688069856523,575989,576457,1
FN2066,Phage-related protein,0.5889579326793775,576416,576833,1
FN2068,dGTP triphosphohydrolase,0.6517693543593561,577534,579076,-1
FN2076,MunI regulatory protein,0.6268795792008268,587625,587856,-1
FN2077,NA+/H+ antiporter NHAC,0.6650641181325853,588039,589470,1
FN2080,ABC transporter integral membrane protein,0.6407061783185097,591210,592047,-1
FN2087,Hypothetical protein,0.6128199324139656,599128,599809,-1
FN2088,Hypothetical protein,0.6559596795780618,599937,601107,-1
FN2089,Hypothetical protein,0.5921081385459256,601099,601639,-1
FN2091,unknown,0.6617240883879778,602184,602571,-1
FN2092,Integral membrane protein,0.5808729924130774,602703,603201,-1
FN2093,General secretion pathway protein G,0.6291831349080184,603185,603641,-1
FN2094,General secretion pathway protein F,0.6613384785850044,603888,604929,-1
FN2095,General secretion pathway protein E,0.6527671279194871,604925,606170,-1
FN2096,unknown,0.5063202144323198,606356,606554,-1
FN2097,unknown,0.49504424507860234,606538,606943,-1
FN2101,Transporter,0.6258716477703594,610385,611291,1
FN2102,ABC transporter ATP-binding protein,0.6679033343977274,611316,613212,1
FN2112,Hypothetical protein,0.6583259088662079,623258,623753,-1
FN2113,Hypothetical protein,0.6178251470199034,623827,624022,-1
FN2127,unknown,0.658072161209297,638315,638588,-1
FN2128,RECF protein,0.6684549899918685,638565,639675,-1
FN0011,Transcriptional regulator,0.6311325361218568,651170,651680,1
FN0019,Transcription-repair coupling factor,0.6700883282442659,656688,659634,1
FN0020,Heat shock protein 15,0.6664342400289653,659749,660049,1
FN0021,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,0.6091026866727486,660029,660914,1
FN0027,unknown,0.42489970827854157,664852,664981,-1
FN0028,Transposase,0.5880469242200146,665052,666528,1
FN0036,Hypothetical membrane-spanning Protein,0.6183288716677283,677066,677699,-1
FN0037,unknown,0.6420686197186426,677698,678151,-1
FN0038,unknown,0.6551094046652283,678286,678589,-1
FN0039,DNA primase (bacterial type) and small primase-like proteins,0.5982896373700828,678750,679302,-1
FN0042,Rod shape-determining protein rodA,0.5854699881050339,680965,682219,-1
FN0044,Shikimate 5-dehydrogenase,0.5737164399394798,682840,683101,1
FN0045,Shikimate 5-dehydrogenase,0.6652600585743709,683151,683901,1
FN0051,unknown,0.4796398162267968,688872,689019,-1
FN0057,Endonuclease III,0.6106586440620465,693354,693960,1
FN0064,Hypothetical cytosolic protein,0.6370936611834962,699628,699982,1
FN0066,Two component system histidine kinase,0.6438592722666031,702466,704680,1
FN0068,Lipoprotein signal peptidase,0.5651898343490878,707447,707945,1
FN0072,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,0.6382062929576722,711854,712679,1
FN0074,Ethanolamine utilization protein eutS,0.6688888276573038,713467,713836,1
FN0075,Ethanolamine utilization protein eutP,0.6603030213765089,713838,714276,1
FN0077,Ethanolamine two-component sensor kinase,0.6211243572491493,714843,716232,1
FN0078,Ethanolamine utilization protein eutA,0.6214679254194441,716344,717775,1
FN0086,Hypothetical protein,0.6587424180224126,724176,724764,1
FN0092,NADPH-dependent butanol dehydrogenase,0.6456381719479779,728047,729166,1
FN0094,unknown,0.48722225818932874,729605,729830,-1
FN0103,Ribonucleoside-diphosphate reductase beta chain,0.6501954493846023,738620,739667,1
FN0109,unknown,0.5483530858109223,744422,744899,-1
FN0112,unknown,0.6676886414915562,746492,746660,1
FN0113,Heat-inducible transcription repressor hrcA,0.5946330852040117,746696,747752,1
FN0115,unknown,0.4131962311501181,748304,748601,-1
FN0119,Flavodoxin,0.6139783370843416,752212,752707,1
FN0121,unknown,0.6659184899838203,752997,753390,-1
FN0127,Fe-S oxidoreductase,0.6589684904521376,755547,756402,-1
FN0133,Hypothetical protein,0.667693787511501,769260,769713,1
FN0136,Transposase,0.5312262773777733,770645,770873,1
FN0137,Transposase,0.5199219113085112,771103,771340,1
FN0138,Transposase,0.526121119232047,771377,771500,1
FN0139,Transposase,0.48951270225584576,771529,771700,1
FN0140,Transposase,0.6116718939908226,772268,773087,-1
FN0143,unknown,0.6651246987913229,774036,774294,1
FN0144,unknown,0.2894118386321656,774254,774443,-1
FN0146,unknown,0.5598071927125576,775003,775390,1
FN0152,Ribonuclease III,0.5906188798958069,780167,780872,1
FN0153,Oxygen-independent coproporphyrinogen III oxidase,0.6217478020959721,780858,781905,1
FN0157,DNA repair protein RadA,0.6405471794255385,785037,786396,1
FN0166,unknown,0.6685205883956665,793871,794237,1
FN0169,hypothetical protein,0.655993548173235,794880,795288,1
FN0171,Hypothetical cytosolic protein,0.4022825724090229,796687,796981,1
FN0189,Two-component response regulator yesN,0.6046305983220741,813342,814128,1
FN0190,Two-component sensor kinase yesM,0.6656837745808719,814114,815773,1
FN0191,helix-turn-helix DNA-binding protein,0.6425380697959466,815891,817325,1
FN0193,Dipeptide transport system permease protein dppB,0.651954765149149,819025,819982,1
FN0194,Dipeptide transport system permease protein dppC,0.6377234024968123,819978,820803,1
FN0195,Dipeptide transport ATP-binding protein dppD,0.5777359110833922,820697,822467,1
FN0196,"Transcriptional regulator, FUR family",0.6422634229208326,822456,822807,1
FN0199,Hypothetical protein,0.6578858659051952,825922,826225,1
FN0213,N-acylneuraminate-9-phosphatase,0.6545175155859237,838241,838748,-1
FN0217,Catabolite gene activator,0.6167428261396519,841141,841795,1
FN0219,Autolysin response regulator,0.6310894384502455,842683,843406,-1
FN0220,Autolysin sensor kinase,0.6124405475211222,843398,845024,-1
FN0228,"Transcriptional regulator, DeoR family",0.6457110125815869,855496,856273,-1
